1.0.0	ACT I
5.2.133	O, my good lord, yonder's foul murders done! 
5.2.134	 
5.2.135	But now, my lord. 
5.2.136	It is the very error of the moon; 
5.2.137	She comes more nearer earth than she was wont, 
5.2.138	And makes men mad. 
5.2.139	Cassio, my lord, hath kill'd a young Venetian 
5.2.140	Call'd Roderigo. 
5.2.141	Roderigo kill'd! 
5.2.142	And Cassio kill'd! 
5.2.143	No, Cassio is not kill'd. 
5.2.144	Not Cassio kill'd! then murder's out of tune, 
5.2.145	And sweet revenge grows harsh. 
5.2.146	O, falsely, falsely murder'd! 
5.2.147	Alas, what cry is that? 
5.2.148	That! what? 
5.2.149	Out, and alas! that was my lady's voice. 
5.2.150	Help! help, ho! help! O lady, speak again! 
5.2.151	Sweet Desdemona! O sweet mistress, speak! 
5.2.152	A guiltless death I die. 
5.2.153	O, who hath done this deed? 
5.2.154	Nobody; I myself. Farewell: 
5.2.155	Commend me to my kind lord: O, farewell! Dies. 
5.2.156	Why, how should she be murder'd? 
5.2.157	Alas, who knows? 
5.2.158	You heard her say herself, it was not I. 
5.2.159	She said so: I must needs report the truth. 
5.2.160	She's, like a liar, gone to burning hell: 
5.2.161	'Twas I that kill'd her. 
5.2.162	O, the more angel she, 
5.2.163	And you the blacker devil! 
5.2.164	She turn'd to folly, and she was a whore. 
5.2.165	Thou dost belie her, and thou art a devil. 
5.2.166	She was false as water. 
5.2.167	Thou art rash as fire, to say 
5.2.168	That she was false: O, she was heavenly true! 
5.2.169	Cassio did top her; ask thy husband else. 
5.2.170	O, I were damn'd beneath all depth in hell, 
5.2.171	But that I did proceed upon just grounds 
5.2.172	To this extremity. Thy husband knew it all. 
5.2.173	My husband! 
5.2.174	Thy husband. 
5.2.175	That she was false to wedlock? 
5.2.176	Ay, with Cassio. Nay, had she been true, 
5.2.177	If heaven would make me such another world 
5.2.178	Of one entire and perfect chrysolite, 
5.2.179	I'ld not have sold her for it. 
5.2.180	My husband! 
5.2.181	Ay, 'twas he that told me first: 
5.2.182	An honest man he is, and hates the slime 
5.2.183	That sticks on filthy deeds. 
5.2.184	My husband! 
5.2.185	What needs this iteration, woman? I say thy husband. 
5.2.186	O mistress, villany hath made mocks with love! 
5.2.187	My husband say that she was false! 
5.2.188	He, woman; 
5.2.189	I say thy husband: dost understand the word? 
5.2.190	My friend, thy husband, honest, honest Iago. 
5.2.191	If he say so, may his pernicious soul 
5.2.192	Rot half a grain a day! he lies to the heart: 
5.2.193	She was too fond of her most filthy bargain. 
5.2.194	Ha! 
5.2.195	Do thy worst: 
5.2.196	This deed of thine is no more worthy heaven 
5.2.197	Than thou wast worthy her. 
5.2.198	Peace, you were best. 
5.2.199	Thou hast not half that power to do me harm 
5.2.200	As I have to be hurt. O gull! O dolt! 
5.2.201	As ignorant as dirt! thou hast done a deed-- 
5.2.202	I care not for thy sword: I'll make thee known, 
5.2.203	Though I lost twenty lives.--Help! help, ho! help! 
5.2.204	The Moor hath kill'd my mistress! Murder! murder! Enter MONTANO, GRATIANO, IAGO, and others. 
5.2.205	What is the matter? How now, general! 
5.2.206	O, are you come, Iago? you have done well, 
5.2.207	That men must lay their murders on your neck. 
5.2.208	What is the matter? 
5.2.209	Disprove this villain, if thou be'st a man: 
5.2.210	He says thou told'st him that his wife was false: 
5.2.211	I know thou didst not, thou'rt not such a villain: 
5.2.212	Speak, for my heart is full. 
5.2.213	I told him what I thought, and told no more 
5.2.214	Than what he found himself was apt and true. 
5.2.215	But did you ever tell him she was false? 
5.2.216	I did. 
5.2.217	You told a lie; an odious, damned lie; 
5.2.218	Upon my soul, a lie, a wicked lie. 
5.2.219	She false with Cassio!--did you say with Cassio? 
5.2.220	With Cassio, mistress. Go to, charm your tongue. 
5.2.221	I will not charm my tongue; I am bound to speak: 
5.2.222	My mistress here lies murder'd in her bed,-- 
5.2.223	O heavens forfend! 
5.2.224	And your reports have set the murder on. 
5.2.225	Nay, stare not, masters: it is true, indeed. 
5.2.226	'Tis a strange truth. 
5.2.227	O monstrous act! 
5.2.228	Villany, villany, villany! 
5.2.229	I think upon't, I think: I smell't: O villany!-- 
5.2.230	I thought so then:--I'll kill myself for grief:-- 
5.2.231	O villany. villany! 
5.2.232	What, are you mad? I charge you, get you home. 
5.2.233	Good gentlemen, let me have leave to speak: 
5.2.234	'Tis proper I obey him, but not now. 
5.2.235	Perchance, Iago, I will ne'er go home. 
5.2.236	O! O! O! He falls on the bed. 
5.2.237	Nay, lay thee down and roar; 
5.2.238	For thou hast kill'd the sweetest innocent 
5.2.239	That e'er did lift up eye.
5.2.240	Rising
5.2.241	O, she was foul! 
5.2.242	I scarce did know you, uncle: there lies your niece, 
5.2.243	Whose breath, indeed, these hands have newly stopp'd: 
5.2.244	I know this act shows horrible and grim. 
5.2.245	Poor Desdemona! I am glad thy father's dead: 
5.2.246	Thy match was mortal to him, and pure grief 
5.2.247	Shore his old thread in twain: did he live now, 
5.2.248	This sight would make him do a desperate turn, 
5.2.249	Yea, curse his better angel from his side, 
5.2.250	And fall to reprobation. 
5.2.251	'Tis pitiful; but yet Iago knows 
5.2.252	That she with Cassio hath the act of shame 
5.2.253	A thousand times committed; Cassio confess'd it: 
5.2.254	And she did gratify his amorous works 
5.2.255	With that recognizance and pledge of love 
5.2.256	Which I first gave her; I saw it in his hand: 
5.2.257	It was a handkerchief, an antique token 
5.2.258	My father gave my mother. 
5.2.259	O heaven! O heavenly powers! 
5.2.260	Come, hold your peace. 
5.2.261	'Twill out, 'twill out: I peace! 
5.2.262	No, I will speak as liberal as the north: 
5.2.263	Let heaven and men and devils, let them all, 
5.2.264	All, all, cry shame against me, yet I'll speak. 
5.2.265	Be wise, and get you home. 
5.2.266	I will not. Iago offers to stab Emilia. 
5.2.267	Fie! 
5.2.268	Your sword upon a woman? 
5.2.269	O thou dull Moor! that handkerchief thou speak'st of 
5.2.270	I found by fortune and did give my husband; 
5.2.271	For often, with a solemn earnestness, 
5.2.272	More than indeed belong'd to such a trifle, 
5.2.273	He begg'd of me to steal it. 
5.2.274	Villanous whore! 
5.2.275	She give it Cassio! no, alas! I found it, 
5.2.276	And I did give't my husband. 
5.2.277	Filth, thou liest! 
5.2.278	By heaven, I do not, I do not, gentlemen. 
5.2.279	O murderous coxcomb! what should such a fool 
5.2.280	Do with so good a woman? 
5.2.281	Are there no stones in heaven 
5.2.282	But what serve for the thunder? Precious villain! He runs at Iago: Iago, from behind, stabs Emilia, and exit. 
5.2.283	The woman falls; sure, he hath kill'd his wife. 
5.2.284	Ay, ay: O, lay me by my mistress' side. 
5.2.285	He's gone, but his wife's kill'd. 
5.2.286	'Tis a notorious villain. Take you this weapon, 
5.2.287	Which I have here recover'd from the Moor: 
5.2.288	Come, guard the door without; let him not pass, 
5.2.289	But kill him rather. I'll after that same villain, 
5.2.290	For 'tis a damned slave. Exeunt Montana and Cratiano. 
5.2.291	I am not valiant neither, 
5.2.292	But every puny whipster gets my sword: 
5.2.293	But why should honour outlive honesty? 
5.2.294	Let it go all. 
5.2.295	What did thy song bode, lady. 
5.2.296	Hark, canst thou hear me? I will play the swan, 
5.2.297	And die in music. Singing 
5.2.298	Willow, willow, willow.-- 
5.2.299	Moor, she was chaste; she loved thee, cruel Moor; 
5.2.300	So come my soul to bliss, as I speak true; 
5.2.301	So speaking as I think, I die, I die. Dies. 
5.2.302	I have another weapon in this chamber; 
5.2.303	It is a sword of Spain, the ice-brook's temper: 
5.2.304	O, here it is. Uncle, I must come forth.
5.2.305	Within
5.2.306	If thou attempt it, it will cost thee dear: 
5.2.307	Thou hast no weapon, and perforce must suffer. 
5.2.308	Look in upon me then and speak with me, 
5.2.309	Or, naked as I am, I will assault thee. Re-enter GRATIANO. 
5.2.310	What is the matter? 
5.2.311	Behold, I have a weapon; 
5.2.312	A better never did itself sustain 
5.2.313	Upon a soldier's thigh: I have seen the day 
5.2.314	That, with this little arm and this good sword, 
5.2.315	I have made my way through more impediments 
5.2.316	Than twenty times your stop: but, O vain boast! 
5.2.317	Who can control his fate? 'tis not so now. 
5.2.318	Be not afraid, though you do see me weapon'd; 
5.2.319	Here is my journey's end, here is my butt, 
5.2.320	And very sea-mark of my utmost sail. 
5.2.321	Do you go back dismay'd? 'tis a lost fear; 
5.2.322	Man but a rush against Othello's breast, 
5.2.323	And he retires. Where should Othello go? 
5.2.324	Now, how dost thou look now? O ill-starr'd wench! 
5.2.325	Pale as thy smock! when we shall meet at compt, 
5.2.326	This look of thine will hurl my soul from heaven, 
5.2.327	And fiends will snatch at it. Cold, cold, my girl! 
5.2.328	Even like thy chastity. O cursed slave! 
5.2.329	Whip me, ye devils, 
5.2.330	>From the possession of this heavenly sight! 
5.2.331	Blow me about in winds! roast me in sulphur! 
5.2.332	Wash me in steep-down gulfs of liquid fire! 
5.2.333	O Desdemona! Desdemona! dead! 
5.2.334	Oh! Oh! Oh! Enter LODOVICO, MONTANO, CASSIO carried in a chair, and Officers with IAGO, prisoner. 
5.2.335	Where is this rash and most unfortunate man? 
5.2.336	That's he that was Othello: here I am. 
5.2.337	Where is that viper? bring the villain forth. 
5.2.338	I look down towards his feet; but that's a fable. 
5.2.339	If that thou be'st a devil, I cannot kill thee. Wounds Iago. 
5.2.340	Wrench his sword from him. 
5.2.341	I bleed, sir; but not kill'd. 
5.2.342	I am not sorry neither: I'ld have thee live; 
5.2.343	For, in my sense, 'tis happiness to die. 
5.2.344	O thou Othello, that wert once so good, 
5.2.345	Fall'n in the practice of a damned slave 
5.2.346	What shall be said to thee? 
5.2.347	Why, any thing: 
5.2.348	An honourable murderer, if you will; 
5.2.349	For nought I did in hate, but all in honour. 
5.2.350	This wretch hath part confess'd his villany: 
5.2.351	Did you and he consent in Cassio's death? 
5.2.352	Ay. 
5.2.353	Dear general, I never gave you cause. 
5.2.354	I do believe it, and I ask you pardon. 
5.2.355	Will you, I pray, demand that demi-devil 
5.2.356	Why he hath thus ensnared my soul and body? 
5.2.357	Demand me nothing: what you know, you know: 
5.2.358	>From this time forth I never will speak word. 
5.2.359	What, not to pray? 
5.2.360	Torments will ope your lips, 
5.2.361	Well, thou dost best. 
5.2.362	Sir, you shall understand what hath befall'n, 
5.2.363	Which, as I think, you know not. Here is a letter 
5.2.364	Found in the pocket of the slain Roderigo; 
5.2.365	And here another: the one of them imports 
5.2.366	The death of Cassio to be undertook 
5.2.367	By Roderigo. 
5.2.368	O villain! 
5.2.369	Most heathenish and most gross! 
5.2.370	Now here 's another discontented paper, 
5.2.371	Found in his pocket too; and this, it seems, 
5.2.372	Roderigo meant to have sent this damned villain; 
5.2.373	But that belike Iago in the interim 
5.2.374	Came in and satisfied him. 
5.2.375	O the pernicious caitiff! 
5.2.376	How came you, Cassio, by that handkerchief 
5.2.377	That was my wife's? 
5.2.378	I found it in my chamber: 
5.2.379	And he himself confess'd but even now 
5.2.380	That there he dropp'd it for a special purpose 
5.2.381	Which wrought to his desire. 
5.2.382	O fool! fool! fool! 
5.2.383	There is besides in Roderigo's letter, 
5.2.384	How he upbraids Iago, that he made him 
5.2.385	Brave me upon the watch; whereon it came 
5.2.386	That I was cast: and even but now he spake, 
5.2.387	After long seeming dead, Iago hurt him, 
5.2.388	Iago set him on. 
5.2.389	You must forsake this room, and go with us: 
5.2.390	Your power and your command is taken off, 
5.2.391	And Cassio rules in Cyprus. For this slave, 
5.2.392	If there be any cunning cruelty 
5.2.393	That can torment him much and hold him long, 
5.2.394	It shall be his. You shall close prisoner rest, 
5.2.395	Till that the nature of your fault be known 
5.2.396	To the Venetian state. Come, bring him away. 
5.2.397	Soft you; a word or two before you go. 
5.2.398	I have done the state some service, and they know 't. 
5.2.399	No more of that. I pray you, in your letters, 
5.2.400	When you shall these unlucky deeds relate, 
5.2.401	Speak of me as I am; nothing extenuate, 
5.2.402	Nor set down aught in malice: then must you speak 
5.2.403	Of one that loved not wisely but too well; 
5.2.404	Of one not easily jealous, but being wrought 
5.2.405	Perplex'd in the extreme; of one whose hand, 
5.2.406	Like the base Indian, threw a pearl away 
5.2.407	Richer than all his tribe; of one whose subdued eyes, 
5.2.408	Albeit unused to the melting mood, 
5.2.409	Drop tears as fast as the Arabian trees 
5.2.410	Their medicinal gum. Set you down this; 
5.2.411	And say besides, that in Aleppo once, 
5.2.412	Where a malignant and a turban'd Turk 
5.2.413	Beat a Venetian and traduced the state, 
5.2.414	I took by the throat the circumcised dog, 
5.2.415	And smote him, thus. Stabs himself. 
5.2.416	O bloody period! 
5.2.417	All that's spoke is marr'd. 
5.2.418	I kiss'd thee ere I kill'd thee: no way but this; 
5.2.419	Killing myself, to die upon a kiss. Falls on the bed, and dies. 
5.2.420	This did I fear, but thought he had no weapon; 
5.2.421	For he was great of heart.
5.2.422	To Iago
5.2.423	O Spartan dog, 
5.2.424	More fell than anguish, hunger, or the sea! 
5.2.425	Look on the tragic loading of this bed; 
5.2.426	This is thy work: the object poisons sight; 
5.2.427	Let it be hid. Gratiano, keep the house, 
5.2.428	And seize upon the fortunes of the Moor, 
5.2.429	For they succeed on you. To you, lord governor, 
5.2.430	Remains the censure of this hellish villain; 
5.2.431	The time, the place, the torture: O, enforce it! 
5.2.432	Myself will straight aboard; and to the state 
5.2.433	This heavy act with heavy heart relate. Exeunt.
